PLAYER_ID,Player,Team,Position
1642928,Dylan Cardwell,Sacramento Kings,C
1628370,Malik Monk,Sacramento Kings,G
1642403,Isaac Jones,Sacramento Kings,F
201566,Russell Westbrook,Sacramento Kings,G
1642363,Nique Clifford,Sacramento Kings,G
203926,Doug McDermott,Sacramento Kings,F
203897,Zach LaVine,Sacramento Kings,G
203967,Dario Šarić,Sacramento Kings,F-C
201942,DeMar DeRozan,Sacramento Kings,G-F
1627734,Domantas Sabonis,Sacramento Kings,F-C
1631099,Keegan Murray,Sacramento Kings,F
203471,Dennis Schröder,Sacramento Kings,G
1629234,Drew Eubanks,Sacramento Kings,F-C
1642269,Devin Carter,Sacramento Kings,G
1631165,Keon Ellis,Sacramento Kings,G
1631342,Daeqwon Plowden,Sacramento Kings,G-F
1642875,Maxime Raynaud,Sacramento Kings,C
1629162,Jordan McLaughlin,San Antonio Spurs,G
1641705,Victor Wembanyama,San Antonio Spurs,F-C
1642844,Dylan Harper,San Antonio Spurs,G
1629640,Keldon Johnson,San Antonio Spurs,F-G
1628368,De'Aaron Fox,San Antonio Spurs,G
1642264,Stephon Castle,San Antonio Spurs,G
1628436,Luke Kornet,San Antonio Spurs,C-F
203482,Kelly Olynyk,San Antonio Spurs,F-C
1631110,Jeremy Sochan,San Antonio Spurs,F
1642868,Carter Bryant,San Antonio Spurs,F
202687,Bismack Biyombo,San Antonio Spurs,C
1630170,Devin Vassell,San Antonio Spurs,G-F
1642357,David Jones Garcia,San Antonio Spurs,F
1642434,Riley Minix,San Antonio Spurs,F
1630577,Julian Champagnie,San Antonio Spurs,F
203084,Harrison Barnes,San Antonio Spurs,F
1630322,Lindy Waters III,San Antonio Spurs,F
1631127,Harrison Ingram,San Antonio Spurs,F
1628983,Shai Gilgeous-Alexander,Oklahoma City Thunder,G
1642959,Chris Youngblood,Oklahoma City Thunder,G
1629652,Luguentz Dort,Oklahoma City Thunder,G
1631119,Jaylin Williams,Oklahoma City Thunder,F
1631096,Chet Holmgren,Oklahoma City Thunder,C-F
1631114,Jalen Williams,Oklahoma City Thunder,G-F
1627936,Alex Caruso,Oklahoma City Thunder,G
1630198,Isaiah Joe,Oklahoma City Thunder,G
1642850,Thomas Sorber,Oklahoma City Thunder,C
1631172,Ousmane Dieng,Oklahoma City Thunder,F
1642382,Branden Carlson,Oklahoma City Thunder,C
1630598,Aaron Wiggins,Oklahoma City Thunder,G
1641717,Cason Wallace,Oklahoma City Thunder,G
1642964,Brooks Barnhizer,Oklahoma City Thunder,G
1642349,Ajay Mitchell,Oklahoma City Thunder,G
1629026,Kenrich Williams,Oklahoma City Thunder,G-F
